codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;salaSeparada;predio;lotacao;horarioSeparado;percDisciplina;percOcupacaoReal;percOcupacaoTotal
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;S04;UAC;130;4T2 - Quarta 14h;98.82352941176471;64.61538461538461;65.38461538461539
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;S04;UAC;130;4T3 - Quarta 15h;98.82352941176471;64.61538461538461;65.38461538461539
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;I03;UAC;60;6T2 - Sexta 14h;98.82352941176471;140.0;141.66666666666669
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;I03;UAC;60;6T3 - Sexta 15h;98.82352941176471;140.0;141.66666666666669
